
1980-01-06 00:30:06,135 proc_top starting

1980-01-06 00:00:02,054
   pid name                  utime  stime  pct
   937 (sn_master_snd)           0     77   8%
   924 (python)                 59      6   7%
   900 (pixrc_udp)               4     27   3%
   925 (python)                 20      0   2%
   901 (telem_down)              0     18   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               1      7   1%
    71 (mmcqd/0)                 0      6   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               2      3   1%

1980-01-06 00:09:52,054
   pid name                  utime  stime  pct
   926 (python)                 95      4  10%
   937 (sn_master_snd)           0     78   8%
   924 (python)                 58      7   7%
   900 (pixrc_udp)               5     25   3%
   901 (telem_down)              1     17   2%
   991 (mfwgstv4lsrc0:s)        10      7   2%
  3893 (sshd)                   10      6   2%
   925 (python)                 13      0   1%
    71 (mmcqd/0)                 0      8   1%
   968 (sn_sender)               2      6   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
