
1980-01-06 00:30:06,135 proc_top starting

1980-01-06 00:00:02,054
   pid name                  utime  stime  pct
   970 (sn_pktsnd)               1      4   1%

1980-01-06 00:02:22,054
   pid name                  utime  stime  pct
   926 (python)                 90      6  10%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 56      4   6%
   900 (pixrc_udp)               4     27   3%
   925 (python)                 11      9   2%
   901 (telem_down)              0     19   2%
   991 (mfwgstv4lsrc0:s)        12      6   2%
   968 (sn_sender)               0      8   1%
    24 (ipu1_task)               0      6   1%
    64 (kworker/0:2)             0      6   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:02:32,054
   pid name                  utime  stime  pct
   926 (python)                 88      7  10%
   937 (sn_master_snd)           0     70   7%
   924 (python)                 56      4   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 12      8   2%
   901 (telem_down)              4     15   2%
   991 (mfwgstv4lsrc0:s)        10      9   2%
   968 (sn_sender)               3      5   1%
    64 (kworker/0:2)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:02:42,054
   pid name                  utime  stime  pct
   926 (python)                 88      9  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 60      0   6%
   900 (pixrc_udp)               5     25   3%
   901 (telem_down)              2     17   2%
   925 (python)                 11      8   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
    64 (kworker/0:2)             0      7   1%
   968 (sn_sender)               2      5   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:02:52,054
   pid name                  utime  stime  pct
   926 (python)                 92      3  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 50      9   6%
   900 (pixrc_udp)               4     27   3%
   925 (python)                 12      8   2%
   901 (telem_down)              2     17   2%
   991 (mfwgstv4lsrc0:s)        17      1   2%
   968 (sn_sender)               2      6   1%
    64 (kworker/0:2)             0      7   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               3      2   1%

1980-01-06 00:03:02,054
   pid name                  utime  stime  pct
   926 (python)                 87     10  10%
   937 (sn_master_snd)           0     72   7%
   924 (python)                 57      2   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              0     19   2%
   925 (python)                 11      8   2%
   991 (mfwgstv4lsrc0:s)        11      8   2%
   968 (sn_sender)               0      8   1%
    24 (ipu1_task)               0      5   1%

1980-01-06 00:03:12,055
   pid name                  utime  stime  pct
   926 (python)                 90      7  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 55      6   6%
   900 (pixrc_udp)               5     26   3%
   925 (python)                 12      8   2%
   901 (telem_down)              1     18   2%
   991 (mfwgstv4lsrc0:s)        12      5   2%
    13 (kworker/0:1)             0      7   1%
   968 (sn_sender)               1      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               1      4   1%
   970 (sn_pktsnd)               1      4   1%

1980-01-06 00:03:22,054
   pid name                  utime  stime  pct
   926 (python)                 86      8   9%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 57      3   6%
   900 (pixrc_udp)               4     25   3%
   925 (python)                 18      2   2%
   901 (telem_down)              4     15   2%
   991 (mfwgstv4lsrc0:s)        13      5   2%
   968 (sn_sender)               8      0   1%
    13 (kworker/0:1)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:03:32,054
   pid name                  utime  stime  pct
   926 (python)                 88      7  10%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 57      3   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              0     21   2%
   925 (python)                 11      8   2%
   991 (mfwgstv4lsrc0:s)        10      8   2%
   968 (sn_sender)               2      6   1%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:03:42,054
   pid name                  utime  stime  pct
   926 (python)                 94      4  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 53      8   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 19      1   2%
   901 (telem_down)              0     18   2%
   991 (mfwgstv4lsrc0:s)        10      8   2%
   968 (sn_sender)               4      4   1%
    13 (kworker/0:1)             0      6   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               2      3   1%
   970 (sn_pktsnd)               2      3   1%

1980-01-06 00:03:52,054
   pid name                  utime  stime  pct
   926 (python)                 87      7   9%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 55      3   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              1     19   2%
   925 (python)                 12      7   2%
   991 (mfwgstv4lsrc0:s)        11      6   2%
    13 (kworker/0:1)             0      7   1%
   968 (sn_sender)               0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:04:02,054
   pid name                  utime  stime  pct
   926 (python)                 89      6  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 54      5   6%
   900 (pixrc_udp)               5     25   3%
   901 (telem_down)              1     19   2%
   925 (python)                  1     18   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               1      7   1%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:04:12,054
   pid name                  utime  stime  pct
   926 (python)                 84     11  10%
   937 (sn_master_snd)           0     72   7%
   924 (python)                 59      1   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              2     18   2%
   925 (python)                 12      8   2%
   991 (mfwgstv4lsrc0:s)        14      5   2%
   968 (sn_sender)               0      8   1%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      5   1%

1980-01-06 00:04:22,054
   pid name                  utime  stime  pct
   926 (python)                 93      4  10%
   937 (sn_master_snd)           0     70   7%
   924 (python)                 53      7   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                  0     20   2%
   901 (telem_down)              2     17   2%
   991 (mfwgstv4lsrc0:s)        10      8   2%
   968 (sn_sender)               2      6   1%
    13 (kworker/0:1)             0      6   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               0      6   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:04:32,054
   pid name                  utime  stime  pct
   926 (python)                 89      6  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 57      2   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 20      0   2%
   901 (telem_down)              0     19   2%
   991 (mfwgstv4lsrc0:s)        10      8   2%
    13 (kworker/0:1)             0      7   1%
   968 (sn_sender)               0      7   1%
    24 (ipu1_task)               0      5   1%

1980-01-06 00:04:42,054
   pid name                  utime  stime  pct
   926 (python)                 89      7  10%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 54      5   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              1     19   2%
   925 (python)                 19      0   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               0      9   1%
    13 (kworker/0:1)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:04:52,054
   pid name                  utime  stime  pct
   926 (python)                 92      6  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 58      4   6%
   900 (pixrc_udp)               4     27   3%
   925 (python)                 19      1   2%
   901 (telem_down)              3     16   2%
   991 (mfwgstv4lsrc0:s)        12      6   2%
   968 (sn_sender)               2      5   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               2      3   1%

1980-01-06 00:05:02,054
   pid name                  utime  stime  pct
   926 (python)                 93      3  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 53      8   6%
   900 (pixrc_udp)               5     25   3%
   901 (telem_down)              0     19   2%
   925 (python)                 12      7   2%
   991 (mfwgstv4lsrc0:s)         9      9   2%
   968 (sn_sender)               2      6   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:05:12,054
   pid name                  utime  stime  pct
   926 (python)                 86      8   9%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 57      2   6%
   900 (pixrc_udp)               7     24   3%
   925 (python)                 12      8   2%
   901 (telem_down)              2     17   2%
   991 (mfwgstv4lsrc0:s)         8      9   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:05:22,054
   pid name                  utime  stime  pct
   926 (python)                 90      6  10%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 61      0   6%
   900 (pixrc_udp)               4     25   3%
   901 (telem_down)              1     18   2%
   925 (python)                 12      7   2%
   991 (mfwgstv4lsrc0:s)        10      8   2%
   968 (sn_sender)               2      5   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:05:32,054
   pid name                  utime  stime  pct
   926 (python)                 84     12  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 56      4   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 20      0   2%
   901 (telem_down)              1     18   2%
   991 (mfwgstv4lsrc0:s)        16      2   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%

1980-01-06 00:05:42,054
   pid name                  utime  stime  pct
   926 (python)                 88      5   9%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 58      4   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 15      5   2%
   901 (telem_down)              2     17   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               1      4   1%

1980-01-06 00:05:52,054
   pid name                  utime  stime  pct
   926 (python)                 90      6  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 56      6   6%
   900 (pixrc_udp)               5     26   3%
   901 (telem_down)              0     20   2%
   925 (python)                 20      0   2%
   991 (mfwgstv4lsrc0:s)        14      4   2%
   968 (sn_sender)               2      6   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               1      4   1%

1980-01-06 00:06:02,054
   pid name                  utime  stime  pct
   926 (python)                 88     10  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 59      5   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 12      7   2%
   991 (mfwgstv4lsrc0:s)        13      6   2%
   901 (telem_down)              1     17   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:06:12,054
   pid name                  utime  stime  pct
   926 (python)                 87     10  10%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 60      3   6%
   900 (pixrc_udp)               5     26   3%
   925 (python)                 26      0   3%
   901 (telem_down)              1     18   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               2      6   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:06:22,054
   pid name                  utime  stime  pct
   926 (python)                 89      6  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 60      3   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              1     18   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   925 (python)                 13      0   1%
   968 (sn_sender)               3      4   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:06:32,054
   pid name                  utime  stime  pct
   926 (python)                 85     10  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 57      7   6%
   900 (pixrc_udp)               4     25   3%
   901 (telem_down)              2     17   2%
   925 (python)                  0     19   2%
   991 (mfwgstv4lsrc0:s)        13      5   2%
   968 (sn_sender)               3      5   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:06:42,054
   pid name                  utime  stime  pct
   926 (python)                 92      4  10%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 58      6   6%
   900 (pixrc_udp)               4     27   3%
   925 (python)                 20      0   2%
   901 (telem_down)              2     17   2%
   991 (mfwgstv4lsrc0:s)        12      5   2%
   968 (sn_sender)               0      9   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:06:52,054
   pid name                  utime  stime  pct
   926 (python)                 93      2  10%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 56      7   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 13      7   2%
   901 (telem_down)              2     17   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               0      7   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   970 (sn_pktsnd)               1      4   1%

1980-01-06 00:07:02,055
   pid name                  utime  stime  pct
   926 (python)                 90      6  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 58      5   6%
   925 (python)                 33      0   3%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              0     18   2%
   991 (mfwgstv4lsrc0:s)         9      9   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               0      6   1%

1980-01-06 00:07:12,054
   pid name                  utime  stime  pct
   926 (python)                 87     11  10%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 56      9   7%
   900 (pixrc_udp)               5     26   3%
   901 (telem_down)              3     16   2%
   991 (mfwgstv4lsrc0:s)        14      4   2%
   925 (python)                 13      0   1%
   968 (sn_sender)               1      6   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:07:22,054
   pid name                  utime  stime  pct
   926 (python)                 89      7  10%
   937 (sn_master_snd)           0     72   7%
   924 (python)                 59      5   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              2     16   2%
   991 (mfwgstv4lsrc0:s)        15      3   2%
   925 (python)                  0     13   1%
   968 (sn_sender)               3      5   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:07:32,054
   pid name                  utime  stime  pct
   926 (python)                 90      5  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 61      3   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              2     17   2%
   925 (python)                 13      6   2%
   991 (mfwgstv4lsrc0:s)        13      5   2%
   968 (sn_sender)               5      3   1%
    24 (ipu1_task)               0      6   1%
  2396 (kworker/0:0)             0      6   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:07:42,054
   pid name                  utime  stime  pct
   926 (python)                 89      5   9%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 58      5   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 26      0   3%
   901 (telem_down)              3     17   2%
   991 (mfwgstv4lsrc0:s)        13      5   2%
   968 (sn_sender)               2      6   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:07:52,054
   pid name                  utime  stime  pct
   926 (python)                 89      7  10%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 60      5   7%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 20      0   2%
   901 (telem_down)              3     15   2%
   991 (mfwgstv4lsrc0:s)        12      6   2%
   968 (sn_sender)               2      6   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:08:02,054
   pid name                  utime  stime  pct
   926 (python)                 88      5   9%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 55      8   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              1     18   2%
   925 (python)                 19      0   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               1      6   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   970 (sn_pktsnd)               1      4   1%

1980-01-06 00:08:12,054
   pid name                  utime  stime  pct
   926 (python)                 91      6  10%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 58      5   6%
   900 (pixrc_udp)               4     27   3%
   925 (python)                 26      0   3%
   901 (telem_down)              3     16   2%
   991 (mfwgstv4lsrc0:s)        14      4   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:08:22,054
   pid name                  utime  stime  pct
   926 (python)                 89      8  10%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 60      5   7%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              2     17   2%
   991 (mfwgstv4lsrc0:s)        10      7   2%
   968 (sn_sender)               0      8   1%
   925 (python)                  0      7   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:08:32,054
   pid name                  utime  stime  pct
   926 (python)                 88      8  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 58      5   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              1     18   2%
   925 (python)                 18      1   2%
   991 (mfwgstv4lsrc0:s)        12      6   2%
   968 (sn_sender)               3      5   1%
    24 (ipu1_task)               0      6   1%
  2396 (kworker/0:0)             0      6   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:08:42,054
   pid name                  utime  stime  pct
   926 (python)                 94      2  10%
   937 (sn_master_snd)           0     74   7%
   924 (python)                 52     13   7%
   925 (python)                  0     43   4%
   900 (pixrc_udp)               4     25   3%
   901 (telem_down)              1     17   2%
   991 (mfwgstv4lsrc0:s)        10      8   2%
   968 (sn_sender)               0      7   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:08:52,054
   pid name                  utime  stime  pct
   926 (python)                 86     10  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 58      5   6%
   900 (pixrc_udp)               2     29   3%
   901 (telem_down)              3     16   2%
   991 (mfwgstv4lsrc0:s)        14      4   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:09:02,054
   pid name                  utime  stime  pct
   926 (python)                 94      2  10%
   937 (sn_master_snd)           0     71   7%
   924 (python)                 59      6   7%
   900 (pixrc_udp)               4     26   3%
   991 (mfwgstv4lsrc0:s)        15      4   2%
   901 (telem_down)              0     18   2%
   925 (python)                  9      7   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               0      5   1%

1980-01-06 00:09:12,054
   pid name                  utime  stime  pct
   926 (python)                 84     10   9%
   937 (sn_master_snd)           0     72   7%
   924 (python)                 59      5   6%
   900 (pixrc_udp)               4     27   3%
   925 (python)                 25      0   3%
   901 (telem_down)              0     19   2%
   991 (mfwgstv4lsrc0:s)        11      7   2%
   968 (sn_sender)               2      6   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      6   1%
   904 (pixrc_ser)               0      5   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:09:22,054
   pid name                  utime  stime  pct
   926 (python)                 86      9  10%
   937 (sn_master_snd)           0     73   7%
   924 (python)                 59      4   6%
   900 (pixrc_udp)               4     26   3%
   925 (python)                 25      0   3%
   901 (telem_down)              4     15   2%
   991 (mfwgstv4lsrc0:s)         9      9   2%
   968 (sn_sender)               1      7   1%
  2396 (kworker/0:0)             0      6   1%
    24 (ipu1_task)               0      5   1%

1980-01-06 00:09:32,054
   pid name                  utime  stime  pct
   926 (python)                 86     10  10%
   937 (sn_master_snd)           0     75   8%
   924 (python)                 53     11   6%
   900 (pixrc_udp)               4     26   3%
   901 (telem_down)              6     13   2%
   925 (python)                 18      0   2%
   991 (mfwgstv4lsrc0:s)        14      4   2%
   968 (sn_sender)               3      5   1%
  2396 (kworker/0:0)             0      7   1%
    24 (ipu1_task)               0      5   1%
   904 (pixrc_ser)               4      1   1%
   970 (sn_pktsnd)               0      5   1%

1980-01-06 00:09:42,054
   pid name                  utime  stime  pct
   926 (python)                 90      8  10%
