Jan  6 00:30:08 3dr_solo local0.info +787 pixrc: main: built Nov 17 2015 01:38:02
Jan  6 00:30:08 3dr_solo local0.info +798 pixrc: main: rcSourceIps: 10.1.1.1,127.0.0.1
Jan  6 00:30:08 3dr_solo local0.info +800 pixrc: main: rcDestPort:  5005
Jan  6 00:30:08 3dr_solo local0.info +800 pixrc: main: rcDsmDev:    /dev/ttymxc2
Jan  6 00:30:08 3dr_solo local0.info +800 pixrc: main: Throttle PWM in  1000...2000
Jan  6 00:30:08 3dr_solo local0.info +800 pixrc: main:          PWM out 1000...1900
Jan  6 00:30:08 3dr_solo local0.info +800 pixrc: main: Other    PWM in  1000...2000
Jan  6 00:30:08 3dr_solo local0.info +800 pixrc: main:          PWM out 1000...2000
Jan  6 00:30:08 3dr_solo local0.info +800 pixrc: udp: listening on port 5005
Jan  6 00:30:09 3dr_solo local0.info +011 pixrc: serial: started
Jan  5 23:59:59 3dr_solo local0.info +611 pixrc: cmd: uplink attached
Jan  6 00:06:24 3dr_solo local0.info +766 pixrc: a:20,m:28,n:500,u:0,d:0,o:0,q:0,udp=28102,ser=20900
Jan  6 00:06:34 3dr_solo local0.info +765 pixrc: a:20,m:29,n:500,u:0,d:0,o:0,q:0,udp=28727,ser=21234
Jan  6 00:06:44 3dr_solo local0.info +766 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=27465,ser=21181
Jan  6 00:06:54 3dr_solo local0.info +746 pixrc: a:20,m:28,n:499,u:0,d:0,o:0,q:0,udp=28289,ser=21553
Jan  6 00:07:04 3dr_solo local0.info +748 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=27193,ser=20974
Jan  6 00:07:14 3dr_solo local0.info +746 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=26749,ser=21933
Jan  6 00:07:24 3dr_solo local0.info +746 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=26888,ser=21011
Jan  6 00:07:34 3dr_solo local0.info +746 pixrc: a:20,m:26,n:500,u:0,d:0,o:0,q:0,udp=26354,ser=22030
Jan  6 00:07:44 3dr_solo local0.info +747 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=26919,ser=21257
Jan  6 00:07:54 3dr_solo local0.info +746 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=27019,ser=21024
Jan  6 00:08:04 3dr_solo local0.info +746 pixrc: a:20,m:38,n:500,u:0,d:0,o:0,q:0,udp=37663,ser=21020
Jan  6 00:08:14 3dr_solo local0.info +746 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=26511,ser=21023
Jan  6 00:08:24 3dr_solo local0.info +746 pixrc: a:20,m:25,n:500,u:0,d:0,o:0,q:0,udp=25058,ser=21439
Jan  6 00:08:34 3dr_solo local0.info +746 pixrc: a:20,m:25,n:500,u:0,d:0,o:0,q:0,udp=25494,ser=21684
Jan  6 00:08:44 3dr_solo local0.info +746 pixrc: a:20,m:25,n:500,u:0,d:0,o:0,q:0,udp=25299,ser=21360
Jan  6 00:08:54 3dr_solo local0.info +746 pixrc: a:20,m:25,n:500,u:0,d:0,o:0,q:0,udp=25407,ser=20934
Jan  6 00:09:04 3dr_solo local0.info +747 pixrc: a:20,m:28,n:500,u:0,d:0,o:0,q:0,udp=28142,ser=21188
Jan  6 00:09:14 3dr_solo local0.info +747 pixrc: a:20,m:26,n:500,u:0,d:0,o:0,q:0,udp=26452,ser=21326
Jan  6 00:09:24 3dr_solo local0.info +748 pixrc: a:20,m:25,n:500,u:0,d:0,o:0,q:0,udp=25095,ser=21011
