Jan  6 00:04:34 3dr_controller local1.info +578 tlm: dn:884 (1,1)864/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:04:44 3dr_controller local1.info +580 tlm: dn:897 (1,1)877/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:04:54 3dr_controller local1.info +579 tlm: dn:899 (1,1)879/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:05:04 3dr_controller local1.info +568 tlm: dn:880 (1,1)861/0 (1,154)9/8 (10,0)10/0 up:0
Jan  6 00:05:14 3dr_controller local1.info +581 tlm: dn:902 (1,1)881/0 (1,154)11/10 (10,0)10/0 up:0
Jan  6 00:05:24 3dr_controller local1.info +582 tlm: dn:900 (1,1)880/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:05:34 3dr_controller local1.info +580 tlm: dn:897 (1,1)877/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:05:34 3dr_controller local1.info +662 tlm: adding telem dest @ 10.1.1.100:14550
Jan  6 00:05:44 3dr_controller local1.info +582 tlm: dn:885 (1,1)865/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:05:54 3dr_controller local1.info +581 tlm: dn:897 (1,1)877/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:06:04 3dr_controller local1.info +586 tlm: dn:898 (1,1)878/0 (1,154)9/8 (10,0)11/0 up:0
Jan  6 00:06:14 3dr_controller local1.info +566 tlm: dn:880 (1,1)861/0 (1,154)10/9 (10,0)9/0 up:0
Jan  6 00:06:24 3dr_controller local1.info +585 tlm: dn:901 (1,1)880/0 (1,154)11/10 (10,0)10/0 up:0
Jan  6 00:06:34 3dr_controller local1.info +583 tlm: dn:901 (1,1)881/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:06:44 3dr_controller local1.info +584 tlm: dn:897 (1,1)877/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:06:54 3dr_controller local1.info +584 tlm: dn:885 (1,1)865/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:07:04 3dr_controller local1.info +573 tlm: dn:896 (1,1)877/0 (1,154)9/8 (10,0)10/0 up:0
Jan  6 00:07:14 3dr_controller local1.info +584 tlm: dn:899 (1,1)879/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:07:24 3dr_controller local1.info +565 tlm: dn:895 (1,1)875/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:07:34 3dr_controller local1.info +585 tlm: dn:887 (1,1)866/0 (1,154)11/10 (10,0)10/0 up:0
Jan  6 00:07:44 3dr_controller local1.info +588 tlm: dn:901 (1,1)881/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:07:54 3dr_controller local1.info +588 tlm: dn:896 (1,1)876/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:08:04 3dr_controller local1.info +587 tlm: dn:885 (1,1)865/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:08:14 3dr_controller local1.info +579 tlm: dn:897 (1,1)878/0 (1,154)9/8 (10,0)10/0 up:0
Jan  6 00:08:24 3dr_controller local1.info +589 tlm: dn:898 (1,1)877/0 (1,154)10/9 (10,0)11/0 up:0
Jan  6 00:08:34 3dr_controller local1.info +567 tlm: dn:897 (1,1)878/0 (1,154)10/9 (10,0)9/0 up:0
Jan  6 00:08:44 3dr_controller local1.info +588 tlm: dn:884 (1,1)863/0 (1,154)11/10 (10,0)10/0 up:0
Jan  6 00:08:54 3dr_controller local1.info +589 tlm: dn:901 (1,1)881/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:09:04 3dr_controller local1.info +589 tlm: dn:897 (1,1)877/0 (1,154)9/8 (10,0)11/0 up:0
Jan  6 00:09:14 3dr_controller local1.info +590 tlm: dn:885 (1,1)865/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:09:24 3dr_controller local1.info +589 tlm: dn:896 (1,1)876/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:09:34 3dr_controller local1.info +589 tlm: dn:899 (1,1)879/0 (1,154)10/9 (10,0)10/0 up:0
Jan  6 00:09:44 3dr_controller local1.info +584 tlm: dn:879 (1,1)860/0 (1,154)10/9 (10,0)9/0 up:0
Jan  6 00:09:54 3dr_controller local1.info +590 tlm: dn:903 (1,1)882/0 (1,154)10/9 (10,0)11/0 up:0
Jan  6 00:10:04 3dr_controller local1.info +583 tlm: dn:897 (1,1)878/0 (1,154)10/9 (10,0)9/0 up:0
Jan  6 00:10:14 3dr_controller local1.info +590 tlm: dn:900 (1,1)879/0 (1,154)10/9 (10,0)11/0 up:0
Jan  6 00:10:24 3dr_controller local1.info +579 tlm: dn:879 (1,1)860/0 (1,154)10/9 (10,0)9/0 up:0
Jan  6 00:10:34 3dr_controller local1.info +590 tlm: dn:903 (1,1)882/0 (1,154)10/9 (10,0)11/0 up:0
